family,name,class,cap-diameter,cap-shape,Cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,Spore-print-color,habitat,season
Amanita Family,Fly Agaric,p,[10,,,,,,,,,,,,,,,,,,,
Amanita Family,Panther Cap,p,[5,,,,,,,,,,,,,,,,,,,
Amanita Family,False Panther Cap,p,[10,,,,,,,,,,,,,,,,,,,
Amanita Family,The Blusher,e,[5,,,,,,,,,,,,,,,,,,,
Amanita Family,Death Cap,p,[5,,,,,,,,,,,,,,,,,,,
Amanita Family,False Death Cap,e,[4,,,,,,,,,,,,,,,,,,,
Amanita Family,Destroying Angel,p,[5,,,,,,,,,,,,,,,,,,,
Amanita Family,Tawny Grisette,e,[4,,,,,,,,,,,,,,,,,,,
Lepiota Family,Parasol Mushroom,e,[10,,,,,,,,,,,,,,,,,,,
Lepiota Family,Shaggy Parasol,e,[12,,,,,,,,,,,,,,,,,,,
Lepiota Family,Stinking Parasol,p,[2,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Saffron Parasol,p,[2,,,,,,,,,,,,,,,,,,,
Tricholoma Family,The Deceiver,e,[1,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Amethyst Deceiver,e,[1,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Wood Blewit,e,[5,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Field Blewit,e,[5,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Clouded Agaric,e,[8,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Club-footed Funnel Cap,p,[4,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Common Funnel Cap,e,[4,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Aniseed Funnel Cap,e,[3,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Ivory Clitocybe,p,[2,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Wood Woolly-foot,p,[3,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Russet Tough Shank,p,[2,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Clustered Tough Shank,p,[2,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Greasy Tough Shank,e,[4,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Spotted Tough Shank,p,[6,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Fairy Ring Champignon,e,[2,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Little Wheel Fungus,p,[0.7,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Horse-hair Fungus,p,[0.5,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Bonnet Bell Cap,e,[2,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Stump Bell Cap,p,[1,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Tufted Bell Cap,p,[2,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Milky Bell Cap,e,[1,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Small Bleeding Bell Cap,e,[0.5,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Lilac Bell Cap,p,[2,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Yellow-stemmed Bell Cap,e,[1,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Orange Bell Cap,p,[0.4,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Orange Moss Agaric,p,[0.4,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Umbrella Navel Cap,p,[1,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Rooting Shank,p,[4,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Porcelain Mushroom,e,[4,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Velvet Shank,e,[2,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Honey Fungus,e,[5,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Bulbous Honey Fungus,e,[5,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Soap-scented Tricholoma,p,[3,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Grey Tricholoma,e,[4,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Scaly Tricholoma,e,[3,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Yellow-brown Tricholoma,e,[5,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Sulphur Tricholoma,p,[3,,,,,,,,,,,,,,,,,,,
Tricholoma Family,St George's Mushroom,e,[5,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Clustered Brown Cap,e,[6,,,,,,,,,,,,,,,,,,,
